2021-08-26 13:51:29.474979;Dono mesmo;Ligar o bot;ligou o bot
2021-08-26 13:51:36.130663;hutner700#5080;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 13:53:31.754176;Doninha de Liyue#0827;//gaal 1 0 0 -2 1 -1 -3 1 3 1 -2 -2 2 -5 -7 3;[[0, 0, -2]]
2021-08-26 13:53:33.088386;Doninha de Liyue#0827;//gaal 1 0 0 -2 1 -1 -3 1 3 1 -2 -2 2 -5 -7 3;Enviado o print da Q4 para a pessoa
2021-08-26 13:54:58.602745;hutner700#5080;//gaal 1;Mandou o exemplo
2021-08-26 13:55:00.064260;hutner700#5080;//gaal 1;Mandou o exemplo
2021-08-26 13:55:32.564771;RafaelC#9604;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 13:59:09.804859;Borges#0591;//gaal 1;Mandou o exemplo
2021-08-26 13:59:49.701276;RafaelC#9604;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:02:48.294789;fe_fernandes#1787;//gaal 1;Mandou o exemplo
2021-08-26 14:03:19.457903;Borges#0591;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:03:43.689168;fe_fernandes#1787;//gaal 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;Mandou o exemplo
2021-08-26 14:04:52.218203;fe_fernandes#1787;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2  10 6 0 0 -2;Mandou o exemplo
2021-08-26 14:05:13.014373;fe_fernandes#1787;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;[[0, 0, -2]]
2021-08-26 14:05:14.506555;RafaelC#9604;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:05:15.535920;fe_fernandes#1787;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;Enviado o print da Q4 para a pessoa
2021-08-26 14:06:02.877993;fe_fernandes#1787;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:06:57.754315;Doninha de Liyue#0827;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:08:50.314097;RafaelC#9604;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:10:12.077065;fe_fernandes#1787;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:10:54.483626;fe_fernandes#1787;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:15:30.773818;fe_fernandes#1787;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:17:02.332749;fe_fernandes#1787;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:17:29.255260;amo a arte de bach m#1906;//gaal 1 -3 5 9 3 1 0 -7 3 12 -1 1 3 0 1 2;[]
2021-08-26 14:17:30.923833;amo a arte de bach m#1906;//gaal 1 -3 5 9 3 1 0 -7 3 12 -1 1 3 0 1 2;Enviado o print da Q4 para a pessoa
2021-08-26 14:18:42.888817;amo a arte de bach m#1906;//gaal 1 -3 -5 -9 3 1 0 -7 3 12 -1 1 3 0 1 2;[[0, 1, 2]]
2021-08-26 14:18:44.039246;amo a arte de bach m#1906;//gaal 1 -3 -5 -9 3 1 0 -7 3 12 -1 1 3 0 1 2;Enviado o print da Q4 para a pessoa
2021-08-26 14:20:11.982893;quietbrelax#8948;//gaal 1;Mandou o exemplo
2021-08-26 14:20:30.308092;Borges#0591;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:21:22.033242;fe_fernandes#1787;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:21:59.541145;quietbrelax#8948;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;[[0, 0, -2]]
2021-08-26 14:22:00.554125;quietbrelax#8948;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;Enviado o print da Q4 para a pessoa
2021-08-26 14:22:23.216982;Flype#2015;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:22:23.729904;Vinícius Albano#6381;//gaal 1 1 1 1 - -1 2 1 - -4 2 0 - -2 10 6 - 0 0 -2;Mandou o exemplo
2021-08-26 14:23:33.444585;fe_fernandes#1787;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 14:23:34.894526;Breno Max#6891;//gaal 1;Mandou o exemplo
2021-08-26 14:24:52.085191;Breno Max#6891;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;[[0, 0, -2]]
2021-08-26 14:24:53.194036;Breno Max#6891;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;Enviado o print da Q4 para a pessoa
2021-08-26 14:26:27.003169;marilia#5665;//gaal 1 -2 -3 -7 2 4 8 1 1 3 1 -2 1 0 1 1;[[1, -2, 1]]
2021-08-26 14:26:33.674829;marilia#5665;//gaal 1 -2 -3 -7 2 4 8 1 1 3 1 -2 1 0 1 1;Enviado o print da Q4 para a pessoa
2021-08-26 14:26:45.568920;Doninha de Liyue#0827;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:26:50.156155;rodrigo1#0781;//gaal 1 0 0 1 2 -2 -1 -2 10 5 2 2 1 -6 2 1;[[0, 0, 1]]
2021-08-26 14:26:56.239003;rodrigo1#0781;//gaal 1 0 0 1 2 -2 -1 -2 10 5 2 2 1 -6 2 1;Enviado o print da Q4 para a pessoa
2021-08-26 14:28:35.634862;Doninha de Liyue#0827;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:29:38.944718;rodrigo1#0781;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:30:02.760877;eduardolmattos#8237;//gaal 1 -3 -5 -9 3 1 0 -7 3 12 -1 1 3 0 1 2;[[0, 1, 2]]
2021-08-26 14:30:04.156418;eduardolmattos#8237;//gaal 1 -3 -5 -9 3 1 0 -7 3 12 -1 1 3 0 1 2;Enviado o print da Q4 para a pessoa
2021-08-26 14:31:34.065918;eduardolmattos#8237;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:31:41.433362;quietbrelax#8948;//gaal 1 0 2 2 3 1 1 1 1 0 9 11 11 6 6 6;[[1, 1, 0]]
2021-08-26 14:31:42.720836;quietbrelax#8948;//gaal 1 0 2 2 3 1 1 1 1 0 9 11 11 6 6 6;Enviado o print da Q4 para a pessoa
2021-08-26 14:32:39.675053;eduardolmattos#8237;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:33:14.761025;rodrigo1#0781;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:34:19.646072;Arthur_5859#1907;//gaal 1;Mandou o exemplo
2021-08-26 14:35:29.243267;Delareti#3554;//gaal 1 -1 2 -1 -9 5 1 0 1 1 3 -1 -3 -3 -1;Mandou o exemplo
2021-08-26 14:36:05.495246;eduardolmattos#8237;//gaal 1 4 4 -7 0 0 3 2 1 2 -2 -2 -1 -4 -4 4;[[2, 1, 2]]
2021-08-26 14:36:06.774564;eduardolmattos#8237;//gaal 1 4 4 -7 0 0 3 2 1 2 -2 -2 -1 -4 -4 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:36:29.726647;Delareti#3554;//gaal 1 1 -1 2 -1 -9 5 1 0 1 1 3 -1 -3 -3 -1;[[1, -1, 2]]
2021-08-26 14:36:31.095533;Delareti#3554;//gaal 1 1 -1 2 -1 -9 5 1 0 1 1 3 -1 -3 -3 -1;Enviado o print da Q4 para a pessoa
2021-08-26 14:36:46.771760;Breno Max#6891;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:38:15.148706;João Paulo#3822;//gaal 1 0 2 2 -3 6 4 3 0 2 0 0 -1 6 -6 -2;[[0, 0, -1]]
2021-08-26 14:38:16.310076;João Paulo#3822;//gaal 1 0 2 2 -3 6 4 3 0 2 0 0 -1 6 -6 -2;Enviado o print da Q4 para a pessoa
2021-08-26 14:39:03.606031;eduardolmattos#8237;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:39:46.219281;Júlia.aur#1307;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:42:15.631742;rodrigo1#0781;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:42:48.457231;Pedafonso#8449;//gaal 1;Mandou o exemplo
2021-08-26 14:43:36.628716;Doninha de Liyue#0827;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 14:44:32.404100;Bruno mesquita#6106;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:44:36.996632;quietbrelax#8948;//gaal 1 0 1 0 2 1 6 2 0 3 1 -1 3 4 -2 12;[[2, 0, 3]]
2021-08-26 14:44:43.053767;quietbrelax#8948;//gaal 1 0 1 0 2 1 6 2 0 3 1 -1 3 4 -2 12;Enviado o print da Q4 para a pessoa
2021-08-26 14:44:44.376664;eduardolmattos#8237;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:45:08.120509;Pedafonso#8449;//gaal 1 0 -1 2  3 1 1  3 0 1  -6 -2 2  12 3 -2;Mandou o exemplo
2021-08-26 14:46:23.973036;Pedafonso#8449;//gaal 1  0  -1   2  3  1  1  3  0  1  -6  -2  2  12  3  -2;Mandou o exemplo
2021-08-26 14:47:13.680368;Zayan#1872;//gaal 1 2 2 1 -7 -2 6 5 4 -6 1 -1 0 -2 -1 2;[[2, 2, 1]]
2021-08-26 14:47:14.859995;Zayan#1872;//gaal 1 2 2 1 -7 -2 6 5 4 -6 1 -1 0 -2 -1 2;Enviado o print da Q4 para a pessoa
2021-08-26 14:47:26.060989;Flype#2015;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:47:39.459250;Breno Max#6891;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:47:49.333388;rodrigo1#0781;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 14:47:49.670823;Pedafonso#8449;//gaal 1  1  1  1  -1  2  1   -4  2  0  -2  10  6  0  0  -2;Mandou o exemplo
2021-08-26 14:49:31.643833;Pedafonso#8449;//gaal 1 0 -1 2 3 1 1 3 0 1 -6 -2 2 12 3 -2;[[3, 1, 1]]
2021-08-26 14:49:32.336527;Pedafonso#8449;//gaal 1 0 -1 2 3 1 1 3 0 1 -6 -2 2 12 3 -2;Enviado o print da Q4 para a pessoa
2021-08-26 14:49:43.142138;Marianne Valle#9080;//gaal 1;Mandou o exemplo
2021-08-26 14:50:29.011389;Pedafonso#8449;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:51:59.951597;selipenes#2226;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:52:01.077197;Zayan#1872;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:54:38.948255;Zayan#1872;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:55:24.021936;Flype#2015;//gaal 1 2 0 3 3 -1 3 1 1 0 8 0 6;Mandou o exemplo
2021-08-26 14:55:39.684845;Flype#2015;//gaal 1 2 0 3 3 -1 3 1 1 0 8 0 6 5 -3 6;[[2, 0, 3]]
2021-08-26 14:55:44.507042;Flype#2015;//gaal 1 2 0 3 3 -1 3 1 1 0 8 0 6 5 -3 6;Enviado o print da Q4 para a pessoa
2021-08-26 14:55:48.892117;Doninha de Liyue#0827;//gaal 1 -2 4 2 1 2 -1 7 2 -7 2 0 -2 -2 -2 1;[[-2, -2, 1]]
2021-08-26 14:55:50.376479;Doninha de Liyue#0827;//gaal 1 -2 4 2 1 2 -1 7 2 -7 2 0 -2 -2 -2 1;Enviado o print da Q4 para a pessoa
2021-08-26 14:56:08.233830;Pedafonso#8449;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 14:56:31.370927;aLeh#4528;//gaal 2 1 2 3 1 1 14 6 10 1 3 2 1 1 3;Enviado o print da Q2 para a pessoa
2021-08-26 14:56:51.589059;Doninha de Liyue#0827;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 14:57:22.367092;Breno Max#6891;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 14:57:34.195702;Zayan#1872;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 14:57:49.521129;quietbrelax#8948;//gaal 1 2 1 2 3 1 1 14 6 10 1 3 2 1 1 3;[[1, 3, 2]]
2021-08-26 14:57:55.531194;KHRYSS#5731;//gaal 1 -2 1 0 4 -1 0 -2 0 0 0 1 1 -1 1 0;[[0, 1, 1]]
2021-08-26 14:57:55.998807;quietbrelax#8948;//gaal 1 2 1 2 3 1 1 14 6 10 1 3 2 1 1 3;Enviado o print da Q4 para a pessoa
2021-08-26 14:58:00.990726;KHRYSS#5731;//gaal 1 -2 1 0 4 -1 0 -2 0 0 0 1 1 -1 1 0;Enviado o print da Q4 para a pessoa
2021-08-26 15:00:31.539786;Vinícius Albano#6381;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;[[0, 0, -2]]
2021-08-26 15:00:37.628307;Vinícius Albano#6381;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;Enviado o print da Q4 para a pessoa
2021-08-26 15:00:37.834784;Doninha de Liyue#0827;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 15:01:27.155600;Artur Welerson#2426;//gaal 1 -2 1 1 1 -2 5 10 12 2 1 2 -1 2 2 1;[[-2, 1, 1]]
