2021-08-26 13:09:30.355036;Dono mesmo;Ligar o bot;ligou o bot
2021-08-26 13:09:41.046795;hutner700#5080;//gaal 1;Mandou o exemplo
2021-08-26 13:11:25.707478;hutner700#5080;//gaal 1;Mandou o exemplo
2021-08-26 13:11:35.215238;LucasVitorUFMG#9958;//gaal 1 7 3 9 0 -2 -1 3 -1 -3 1 1 3 2 0 0;[[0, -2, -1]]
2021-08-26 13:12:16.324657;hutner700#5080;//gaal 1;Mandou o exemplo
2021-08-26 13:12:33.765471;hutner700#5080;//gaal 1 1 1 1 -1 2 1 -4 2 0 -2 10 6 0 0 -2;[[0, 0, -2]]
2021-08-26 13:13:19.169760;Júlia Castro#3917;//gaal 1 66-2 32-1 90-3 01-1 0-20;Mandou o exemplo
2021-08-26 13:14:33.335141;Pedro lucas#7590;//gaal 1 3 1 2 2 1 1 -1 0 1 -7 -1 2 7 2 3;[[2, 1, 1]]
2021-08-26 13:14:44.762929;Júlia Castro#3917;//gaal 1 6 6 -2 3 2 -1 9 0 -3 0 1 -1 0 -2 0;[[0, 1, -1]]
2021-08-26 13:15:28.875820;Augusto R#1207;//gaal 1 1 -2 2 -3 6 -10 2 -4 7 0 0 -1 1 2 -1;[[1, 2, -1]]
2021-08-26 13:16:24.949949;RafaelC#9604;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 13:16:46.676058;Júlia Castro#3917;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 13:20:54.387232;Júlia Castro#3917;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 13:21:03.080832;RafaelC#9604;//gaal 1;Mandou o exemplo
2021-08-26 13:21:42.530365;RafaelC#9604;//gaal 1 8 8 10 1 1 2 2 2 2 -7 -7 -8 0 1 3;[[0, 1, 3]]
2021-08-26 13:24:47.711065;RafaelC#9604;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 13:26:00.158889;Pedro lucas#7590;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 13:27:16.182641;Pedro lucas#7590;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 13:27:49.552750;LucasVitorUFMG#9958;//gaal 1;Mandou o exemplo
2021-08-26 13:29:00.174952;RafaelC#9604;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 13:30:16.026266;Caio🍃#2700;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 13:34:48.225337;fe_fernandes#1787;//gaal 1;Mandou o exemplo
2021-08-26 13:36:24.711140;laulau#1055;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 13:36:52.248034;RafaelC#9604;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 13:37:24.839661;Briner#2574;//gaal 1 0 0 -2  1 -1 -3 1 3 1 -2 -2 2 -5 -7 3;Mandou o exemplo
2021-08-26 13:38:09.480039;fe_fernandes#1787;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 13:38:20.118884;Briner#2574;//gaal 1 1 0 0 -2 1 -1 -3 1 3 1 -2 -2 2 -5 -7 3;Mandou o exemplo
2021-08-26 13:39:50.234852;Caio🍃#2700;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 13:42:14.911165;RafaelC#9604;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 13:43:12.092140;laulau#1055;//gaal 3;Enviado o print da Q3 para a pessoa
2021-08-26 13:44:00.567072;Briner#2574;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 13:44:47.128504;laulau#1055;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 13:45:10.731210;laulau#1055;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 13:47:00.098214;RafaelC#9604;//gaal 4;Enviado o print da Q4 para a pessoa
2021-08-26 13:47:18.251753;RafaelC#9604;//gaal 5;Enviado o print da Q5 para a pessoa
2021-08-26 13:48:53.811790;Briner#2574;//gaal 2;Enviado o print da Q2 para a pessoa
2021-08-26 13:48:54.341339;Doninha de Liyue#0827;//gaal 1;Mandou o exemplo
